Ax,Ay,Az,Gx,Gy,Gz,Label
0.345,0.0756,0.8218,93.17,130.06,-21.84,A
0.3362,0.0063,0.976,25.83,105.0,23.45,A
0.3699,-0.0503,1.2839,25.62,107.87,54.67,A
0.3665,-0.0712,1.261,60.62,126.77,104.09,A
0.3948,0.121,1.0385,70.28,144.13,159.11,A
0.2684,0.2196,0.9579,54.46,154.77,152.11,A
0.2147,0.2904,0.8198,21.7,174.16,122.29,A
0.1176,0.4011,0.8818,-20.51,180.18,101.71,A
0.1025,0.3196,0.8247,-44.38,187.32,85.89,A
0.0386,0.2372,0.7174,-43.05,176.68,77.0,A
-0.0698,0.2889,0.6354,-24.36,139.02,84.98,A
-0.1049,0.3309,0.6461,-7.07,92.12,85.12,A
-0.1767,0.4294,0.8965,8.47,61.88,89.04,A
-0.225,0.6632,1.0551,32.55,62.44,76.58,A
-0.3138,0.9965,1.0795,22.96,59.85,48.16,A
-0.3152,0.8564,0.9579,-2.87,57.4,-1.4,A
-0.2001,0.5466,0.9223,-11.2,48.93,-34.79,A
-0.123,0.2767,0.9628,17.78,55.09,-27.16,A
-0.1869,0.4026,0.8379,41.58,45.57,-11.97,A
-0.2562,0.5954,0.7549,42.84,18.41,-19.95,A
-0.2923,0.8306,0.7779,23.03,4.48,-35.28,A
-0.3509,1.3093,0.7491,-20.93,10.15,-78.4,A
-0.4426,1.4611,0.6256,-130.2,-5.67,-176.96,A
-0.2962,1.1619,0.6364,-210.98,-65.1,-301.35,A
